,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,m,tau_dr,tau_ols,tau_ols_ps
0,dlvm,1000,3,5,0.1,0,3,602,1,glm,2,True,10,0.9868246472725378,0.9938723335851354,0.992720512035438
1,dlvm,1000,3,100,0.1,0,3,602,1,glm,117,True,10,1.0201675452385963,0.9990669832832012,1.159493565574158
2,dlvm,1000,3,5,0.3,0,3,602,1,glm,1,True,10,0.9868246472725378,0.9938723335851354,0.992720512035438
3,dlvm,1000,3,100,0.3,0,3,602,1,glm,115,True,10,1.0201675452385963,0.9990669832832012,1.159493565574158
4,dlvm,1000,3,5,0,0,3,602,1,glm,1,True,10,1.703431600941966,0.9950948916118968,1.0086020643337967
5,dlvm,1000,3,100,0,0,3,602,1,glm,118,True,10,0.9736969824308002,0.9808998460787148,0.7967639575365725
6,dlvm,1000,3,5,0.1,1,3,602,1,glm,1,True,10,3.471640781928405,1.0140363068893479,1.027661548650142
7,dlvm,1000,3,100,0.1,1,3,602,1,glm,118,True,10,33.79564034582118,0.9987750415034202,1.0614908046913798
8,dlvm,1000,3,5,0.3,1,3,602,1,glm,1,True,10,3.471640781928405,1.0140363068893479,1.027661548650142
9,dlvm,1000,3,100,0.3,1,3,602,1,glm,118,True,10,33.79564034582118,0.9987750415034202,1.0614908046913798
10,dlvm,1000,3,5,0,1,3,602,1,glm,1,True,10,1.2409404643966195,0.9974829973656408,1.001241636406849
11,dlvm,1000,3,100,0,1,3,602,1,glm,116,True,10,0.9893337787484106,0.9923384382275652,0.7870205589244984
12,dlvm,1000,3,5,0.1,2,3,602,1,glm,1,True,10,-1481.9671059161597,0.9815045182289609,0.9672456121008972
13,dlvm,1000,3,100,0.1,2,3,602,1,glm,118,True,10,1.252796343137193,0.9912584493630223,0.9550465984950514
14,dlvm,1000,3,5,0.3,2,3,602,1,glm,1,True,10,-1481.9671059161597,0.9815045182289609,0.9672456121008972
15,dlvm,1000,3,100,0.3,2,3,602,1,glm,119,True,10,1.252796343137193,0.9912584493630223,0.9550465984950514
16,dlvm,1000,3,5,0,2,3,602,1,glm,1,True,10,1.7551563218201198,0.9983542048844785,0.990692022522427
17,dlvm,1000,3,100,0,2,3,602,1,glm,120,True,10,1.004292551247143,0.9850698308987773,0.825104943179743
18,dlvm,1000,3,5,0.1,3,3,602,1,glm,1,True,10,2.8915863998007,1.0078238168935545,1.0282403225019283
19,dlvm,1000,3,100,0.1,3,3,602,1,glm,117,True,10,22.9685958408738,0.9863371504326471,1.0006183397145965
20,dlvm,1000,3,5,0.3,3,3,602,1,glm,1,True,10,2.8915863998007,1.0078238168935545,1.0282403225019283
21,dlvm,1000,3,100,0.3,3,3,602,1,glm,149,True,10,22.9685958408738,0.9863371504326471,1.0006183397145965
22,dlvm,1000,3,5,0,3,3,602,1,glm,2,True,10,2.8210392250265266,0.9806141601779448,0.9798580791010529
23,dlvm,1000,3,100,0,3,3,602,1,glm,149,True,10,0.961358151259019,0.9627517877145338,0.7594850836865132
24,dlvm,1000,3,5,0.1,4,3,602,1,glm,2,True,10,0.996778846890043,1.0042837311411998,1.0073062860406772
25,dlvm,1000,3,100,0.1,4,3,602,1,glm,146,True,10,1.5867307488007598,1.0084755366896554,1.0499555295621246
26,dlvm,1000,3,5,0.3,4,3,602,1,glm,1,True,10,0.996778846890043,1.0042837311411998,1.0073062860406772
27,dlvm,1000,3,100,0.3,4,3,602,1,glm,152,True,10,1.5867307488007598,1.0084755366896554,1.0499555295621246
28,dlvm,1000,3,5,0,4,3,602,1,glm,1,True,10,1.324435111801265,0.9929755454196914,0.993681334588738
29,dlvm,1000,3,100,0,4,3,602,1,glm,150,True,10,0.962395942603116,0.9643348847531957,0.827193688220334
30,dlvm,1000,3,5,0.1,5,3,602,1,glm,1,True,10,0.9941950466333825,0.9869478929938291,0.9958414894251115
31,dlvm,1000,3,100,0.1,5,3,602,1,glm,153,True,10,1.0419589779643228,1.0118282215287886,1.002063098619254
32,dlvm,1000,3,5,0.3,5,3,602,1,glm,1,True,10,0.9941950466333825,0.9869478929938291,0.9958414894251115
33,dlvm,1000,3,100,0.3,5,3,602,1,glm,160,True,10,1.0419589779643228,1.0118282215287886,1.002063098619254
34,dlvm,1000,3,5,0,5,3,602,1,glm,1,True,10,1.5701657793794825,0.9870677081615586,0.9810161261093077
35,dlvm,1000,3,100,0,5,3,602,1,glm,156,True,10,0.9944880090141035,0.9891365290713623,0.8033460311916519
36,dlvm,1000,3,5,0.1,6,3,602,1,glm,1,True,10,2.947930945371043,1.0172025314334412,1.0230444241801622
37,dlvm,1000,3,100,0.1,6,3,602,1,glm,159,True,10,0.997820387914258,0.9950716454022356,0.8609106185507139
38,dlvm,1000,3,5,0.3,6,3,602,1,glm,1,True,10,2.947930945371043,1.0172025314334412,1.0230444241801622
39,dlvm,1000,3,100,0.3,6,3,602,1,glm,150,True,10,0.997820387914258,0.9950716454022356,0.8609106185507139
40,dlvm,1000,3,5,0,6,3,602,1,glm,1,True,10,8.498787896920245,1.007069917241978,1.0238528884088174
41,dlvm,1000,3,100,0,6,3,602,1,glm,152,True,10,0.9905749519820967,0.9964392782772549,0.8664184741892045
42,dlvm,1000,3,5,0.1,7,3,602,1,glm,2,True,10,0.989130110631477,0.9812214007582931,0.9880116628160851
43,dlvm,1000,3,100,0.1,7,3,602,1,glm,156,True,10,1.6747406160420986,0.9988126738879295,0.937938798195176
44,dlvm,1000,3,5,0.3,7,3,602,1,glm,2,True,10,0.989130110631477,0.9812214007582931,0.9880116628160851
