,prop_miss,set_id,d_miwae,n_epochs,sig_prior,method,time,add_wy,m,tau_dr,tau_ols,tau_ols_ps
0,0.1,1,20,602,1,glm,20,False,10,3.9855151937742703,3.937417455182841,3.938334541868776
1,0.3,1,20,602,1,glm,18,False,10,3.980008064719437,3.931846037172479,3.928128000666723
2,0,1,20,602,1,glm,0,False,10,3.9720904659946625,3.9405113979920054,3.9442128991331002
3,0.1,2,20,602,1,glm,20,False,10,4.03965667146028,3.868396094094232,3.8717825262335013
4,0.3,2,20,602,1,glm,20,False,10,4.069499528837995,3.9192798014687704,3.9165385235462367
5,0,2,20,602,1,glm,0,False,10,4.053992845187963,3.894796183074476,3.896518354154813
6,0.1,3,20,602,1,glm,20,False,10,4.019189992262974,3.8923856676681154,3.891960302147851
7,0.3,3,20,602,1,glm,24,False,10,4.062310816801457,3.9495270937237272,3.9498621822138835
8,0,3,20,602,1,glm,1,False,10,4.074658849415729,3.9412479420930078,3.9405491299507838
9,0.1,4,20,602,1,glm,20,False,10,4.103123799136155,3.836894500591279,3.837285920671757
10,0.3,4,20,602,1,glm,21,False,10,4.143705090000152,3.888652847632094,3.8829462688826255
11,0,4,20,602,1,glm,1,False,10,4.0686502138046245,3.901858153185052,3.896961291455392
12,0.1,5,20,602,1,glm,20,False,10,4.2274569897405545,4.247523197677279,4.2624533350360165
13,0.3,5,20,602,1,glm,22,False,10,4.205373280575744,4.218619549422805,4.228952140636704
14,0,5,20,602,1,glm,1,False,10,4.218234957682982,4.171324998802663,4.187262996154046
15,0.1,6,20,602,1,glm,21,False,10,4.0537330248905725,3.9930068063323505,3.995504572875214
16,0.3,6,20,602,1,glm,18,False,10,4.114425171357226,4.048537221594221,4.050458947050456
17,0,6,20,602,1,glm,1,False,10,3.99112090547118,3.962664431746222,3.9652670124853677
18,0.1,7,20,602,1,glm,15,False,10,3.8819852502465215,3.8436727286071872,3.849150809148081
19,0.3,7,20,602,1,glm,21,False,10,3.8288336469698323,3.8801555097182927,3.878266006759617
20,0,7,20,602,1,glm,1,False,10,3.871954552923829,3.8300071492927232,3.8329903017981266
21,0.1,8,20,602,1,glm,20,False,10,3.7291889766008524,3.9152895181987537,3.9203415272082283
22,0.3,8,20,602,1,glm,23,False,10,3.7288202241484476,3.796977673943389,3.7996262186263507
23,0,8,20,602,1,glm,1,False,10,3.676921889718664,3.9428613082796664,3.9442810405989777
24,0.1,9,20,602,1,glm,19,False,10,10.413429936470303,5.576709877290139,5.5731756221439195
25,0.3,9,20,602,1,glm,23,False,10,10.760452100120032,6.682521824761077,6.677069492287546
26,0,9,20,602,1,glm,1,False,10,10.177584551102637,4.784368033973115,4.762959202249058
27,0.1,10,20,602,1,glm,20,False,10,4.7030756711589445,3.9558887240256597,3.9848466304482577
28,0.3,10,20,602,1,glm,25,False,10,4.802462096014586,4.177435997511068,4.191830408474577
29,0,10,20,602,1,glm,1,False,10,4.720224223735468,3.963836079289416,3.9819004415873307
