,n,n_epochs,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps
0,200.0,10.0,1.0929814207917723,1.0884954309825365,1.0834207354403922,1.0371783863410218,1.0369607161152954,1.0368159292087875
1,200.0,100.0,1.0639345474094386,1.0560884535688255,1.0509256800638842,1.0294864768218857,1.0284180581636224,1.0278376214227538
2,200.0,400.0,0.9963613328120877,0.9935007565242279,0.993438359469934,0.9959483659387633,0.9936773598337193,0.9938584777900741
3,200.0,600.0,0.9853688087329712,0.9854129403821691,0.9908044781163904,0.9857502551479526,0.9858866272928052,0.9909125441503049
4,200.0,800.0,0.9963646504223825,0.9945045185613312,0.9977279105570431,0.9967017770026575,0.9950442599495685,0.9981523342897287
5,1000.0,10.0,1.013962606277288,1.0191735250064788,1.0327025926924416,1.0239144486342566,1.0260856564926677,1.0308656625797377
6,1000.0,100.0,0.986355980198074,0.9878395657595348,0.989160231707925,0.9863533804187224,0.9878348850878663,0.9891691443517503
7,1000.0,400.0,1.007924622384741,1.007046436699825,1.007812170000361,1.0078534778526862,1.0071335820579486,1.0079113847409726
8,1000.0,600.0,1.0128487262561918,1.0119352242126032,1.01353152955808,1.0131922410839191,1.012369826221452,1.0139624987785163
9,1000.0,800.0,1.0086918476058622,1.0075589548847028,1.0081605351118335,1.008783877562867,1.0078218534913852,1.0084827726276597
10,10000.0,10.0,1.0012352064269783,1.0013249907021027,1.0012350318040135,1.0014629602340583,1.0015965854504087,1.001476283080403
11,10000.0,100.0,1.0023546648220076,1.002286856463126,1.0023376882931618,1.0024962264235573,1.002477609411198,1.0025050183462714
12,10000.0,400.0,1.000508736851437,1.0004930474033438,1.000531390667585,1.000823554720244,1.000855445910214,1.000915184423921
13,10000.0,600.0,0.9995365065084572,0.9995361209308102,0.9996309632948027,0.9998270973760895,0.9998810507654402,0.9999513562726844
14,10000.0,800.0,1.000833884860429,1.00079151410863,1.000806645483822,1.0012427351257047,1.0012155353361285,1.0012212737364437
